key_id,council,adress,full_adress,name,description,preservation_date,remark,lat_raw,lon_raw,lat_tidy,lon_tidy,lat_tidy_num,lon_tidy_num
20,Assens Kommune ,Korsgade 11,Assens Kommune Korsgade 11, Madam Bundsens Hus, Forhuset (ca 1575),1918,*,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
21,Assens Kommune ,Korsgade 22,Assens Kommune Korsgade 22, Korsgade 22, Gavlhuset (antagelig omkring 1600),1954,*,552709632,98963250,55.2709632,9.896325,55.2709632,9.896325
22,Assens Kommune ,Krengerupvej 6,Assens Kommune Krengerupvej 6, Kamgården," Den firelængede bondegård bestående af stuehuset (1856), laden mod syd (1863), stalden mod vest (1865), kampestenslængen mod nord (ca 1900), portlængen (1866) oggårdspladsen med brostensbelægning",1996,,553162101,102038674,55.3162101,10.2038674,55.3162101,10.2038674
23,Assens Kommune ,Krengerupvej 96,Assens Kommune Krengerupvej 96, Krengerup," Krengerup hovedbygning (1772), avlsgården (1771), hvoraf vestfløjen er en agerumslade, hesteomgangen (ca1850) tilbygget vestlængen mod vest, de to fritliggende bygninger mod øst, hvoraf bygningen mod syd er en vandmølle (1838), samt gårdspladsen på Krengerup, inklusiv den gennemgående vej mod vest og dennes belægninger umiddelbart nord og syd for avlsgårdens porte. Hertil kommer møllesøen med stensætninger herunder den markstensbelagte rampe til hestevask, det stensatte tilløb under landevejen, den stensatte underjordiske kanal under gårdspladsen, den stensatte sluse med stemmeværk, malerenden og fraløbskanalen med stensætninger ved Krengerup Mølle",1918,Udvidet 2007 og 2011*,553055845,101570585,55.3055845,10.1570585,55.3055845,10.1570585
24,Assens Kommune ,Kærlighedsstien 1,Assens Kommune Kærlighedsstien 1," Skydebjerg Præstegård, tidl"," Stuehuset (ca 1792 med senere tilføjelser),sulebygningen mod nord og den dermed sammenbyggede portlænge i vest (1777)",1972,*,553612572,100469804,55.3612572,10.0469804,55.3612572,10.0469804
25,Assens Kommune ,Kærvangen 22,Assens Kommune Kærvangen 22, Turup Sprøjtehus, Sprøjtehuset (1866),1986,,552990652,99932337,55.2990652,9.9932337,55.2990652,9.9932337
26,Assens Kommune ,"Ladegårdsgade 1, hj af Ramsherred","Assens Kommune Ladegårdsgade 1, hj af Ramsherred", Ladegårdsgade 1, Forhuset (slutn af 1500-tallet),1919,,552707723,98929831,55.2707723,9.8929831,55.2707723,9.8929831
27,Assens Kommune ,Ladegårdsgade 41,Assens Kommune Ladegårdsgade 41, Ladegårdsgade 41," Ladebygningen (ca 1600, 1700-tallet)",1983,,552712598,98963459,55.2712598,9.8963459,55.2712598,9.8963459
28,Assens Kommune ,Landevejen 24,Assens Kommune Landevejen 24, Jordløse Præstegård," Det firelængede bygningskompleks (1734 ff, genopført 1982-83efter brand)",1918,,551997079,101560423,55.1997079,10.1560423,55.1997079,10.1560423
29,Assens Kommune ,Langgade 29,Assens Kommune Langgade 29, Flemløse Kirkelade, Kirkeladen (middelalder og senere),1950,* ,552505646,100671656,55.2505646,10.0671656,55.2505646,10.0671656
30,Assens Kommune ,Lundagervej 27,Assens Kommune Lundagervej 27, Sulegården i Grimstrup, Den firelængede gård,1971,*,552799733,99365701,55.2799733,9.9365701,55.2799733,9.9365701
31,Assens Kommune ,Mosegårdsvej 3,Assens Kommune Mosegårdsvej 3, Mosegård," Den firelængede gård med stuehuset (1847) og de dermed sammenbyggede tre udlænger (syd- og vestlængerne 1855-1880, østlængen 1880), den fritliggende svinestald (1908) samtgårdspladsen med pigstensbelægning",1996,*,552190690,100368480,55.2190690,10.036848,55.219069,10.036848
32,Assens Kommune ,Mosegårdsvej 9,Assens Kommune Mosegårdsvej 9, Bregneholm," Den firelængede bondegård bestående af det fritliggende stuehus (1840), østlængen (1833), sydlængen (1835, ombygget ca 1900), vestlængen, den fritliggende kampestenslængemod sydvest (ca 1900) og den pigstensbelagte gårdsplads med granittrug",1997,*,552213604,100355142,55.2213604,10.0355142,55.2213604,10.0355142
33,Assens Kommune ,Møllebakken 60,Assens Kommune Møllebakken 60, Fuglegården, Stuehuset og udlængen (1737) samt gårdspladsen,1984,* ,553216978,102125797,55.3216978,10.2125797,55.3216978,10.2125797
34,Assens Kommune ,Nordre Havnevej 14 A,Assens Kommune Nordre Havnevej 14 A, Kogehuset på Kogehusmolen," Kogehus (1824, flyttet 1953, genopført 1971)",1954,,552701302,98891128,55.2701302,9.8891128,55.2701302,9.8891128
35,Assens Kommune ,Nordre Havnevej 19,Assens Kommune Nordre Havnevej 19, Toldkammerbygningen," Toldkammerbygningen (1834 af Jørgen Hansen Koch),sidehus og forhus mod Strandgade (1845)",1978,*,552705269,98905146,55.2705269,9.8905146,55.2705269,9.8905146
36,Assens Kommune ,Nørrelundsvej 2,Assens Kommune Nørrelundsvej 2," Solhøj, Aldershvile (tidl)"," Hovedbygningen, de to bindingsværksfløje samt deforbindende mure og porte (1840'rne)",1950,*,552256732,100321364,55.2256732,10.0321364,55.2256732,10.0321364
37,Assens Kommune ,Odensevej 119 A,Assens Kommune Odensevej 119 A, Øxnebjerg Vindmølle, Vindmøllen (1859),1964,*,552628107,99898615,55.2628107,9.9898615,55.2628107,9.9898615
38,Assens Kommune ,Overgade 18,Assens Kommune Overgade 18, Skaldbjerggård," Den firelængede bondegård bestående af stuehuset, agerumsladen mod nord, svinestalden mod nordøst, vestlængen og hesteomgangen i gården (alle 1860) samt den fritliggendelænge vest for gården (1700-tallet)",1996,,553671322,101489734,55.3671322,10.1489734,55.3671322,10.1489734
39,Assens Kommune ,Prinsevej 51,Assens Kommune Prinsevej 51, Spinderhuset," Det tidl porthus (beg af 1700-tallet, ombygget ca 1875 og 1925)",1984,*,552367394,99871483,55.2367394,9.9871483,55.2367394,9.9871483
40,Assens Kommune ,Sandhammeren 3,Assens Kommune Sandhammeren 3, Bågø Fyr, Fyrtårnet (1816),1945,*,552977350,97997496,55.2977350,9.7997496,55.297735,9.7997496
41,Assens Kommune ,Skårupvej 1,Assens Kommune Skårupvej 1, Skårup, Den firelængede gård med den brolagte gårdsplads (ca 1800),1984,*,552156782,100540771,55.2156782,10.0540771,55.2156782,10.0540771
42,Assens Kommune ,Slots Allé 1,Assens Kommune Slots Allé 1," Hagenskov, Frederiksgave", Hovedbygningen (1744-76 af Georg Erdman Rosenberg) ogmuren omkring parken samt smedien (sidste halvdel af 1700-tallet),1918,*,552275073,99878116,55.2275073,9.9878116,55.2275073,9.9878116
43,Assens Kommune ,Slots Allé 26,Assens Kommune Slots Allé 26, Hagenskov Slotsmølle," Den tidl vandmølle (1600-tallet, forlænget ca 1750), samtstaldlængen i bindingsværk (beg af 1800-tallet)",1991,*,552231979,99969751,55.2231979,9.9969751,55.2231979,9.9969751
44,Assens Kommune ,Solevadvej 44,Assens Kommune Solevadvej 44, Solevad Vandmølle," Solevad Vandmølle (1870), kværn i nabobygning samt aksel fra møllen hertil, møllesø, stemmeværk og tilløb til møllen (begge 1996), bagvand samt den del af Holmehave Bæk, som løber fra stemmeværk til sammenløbet med møllens bagvand, samt stensatte kanter vedmøllesø, tilløb, bagløb og friløb",1959, Udvidet 2011,553043643,102737609,55.3043643,10.2737609,55.3043643,10.2737609
45,Assens Kommune ,Stationsvej 17,Assens Kommune Stationsvej 17, Tommerup Station, Hovedbygning (1883 af Thomas Arboe),1992,,551957740,101523812,55.1957740,10.1523812,55.195774,10.1523812
46,Assens Kommune ,Strandbyvej 62 A,Assens Kommune Strandbyvej 62 A, Damsbo, Hovedbygningen (1656),1918,,551830318,101443813,55.1830318,10.1443813,55.1830318,10.1443813
47,Assens Kommune ,Strandgade 7,Assens Kommune Strandgade 7, Hotel Postgården, Forhuset med tilbygning på gårdsiden (ca 1700),1971,*,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
48,Assens Kommune ,Søbovej 12,Assens Kommune Søbovej 12, Søbo," Den vinkelbyggede hovedbygning (1720'rne, muligvis ombygning af et hus fra1650'erne)",1979,*,552063820,102020850,55.2063820,10.202085,55.206382,10.202085
49,Assens Kommune ,Søndersøvej 108,Assens Kommune Søndersøvej 108, Søndersøvej 108, Det firelængede sammenbyggede gårdanlæg med den sydligeladetilbygning (før 1810) samt den brolagte gårdsplads,1990,,554062595,101666943,55.4062595,10.1666943,55.4062595,10.1666943
50,Assens Kommune ,Søndre Ringvej 4,Assens Kommune Søndre Ringvej 4, Assens Station, Hovedbygningen (1884 af NP Holsøe),1992,*,552692210,98914333,55.2692210,9.8914333,55.269221,9.8914333
51,Assens Kommune ,Vandværksvej 1,Assens Kommune Vandværksvej 1, Vandværksvej 1," Den trelængede boelsgård (stuehus beg af 1800-tallet), brolægningen foran stuehuset samt den grundmurede staldbygning (ca 1900) og møddingen med kampestensgærdetomkring",1990,*,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
52,Assens Kommune ,Voldtoftevej 13,Assens Kommune Voldtoftevej 13, Voldtoftevej 13, Landarbejderhuset (1830),1995,,552403037,100725540,55.2403037,10.072554,55.2403037,10.072554
53,Assens Kommune ,Voldtoftevej 40,Assens Kommune Voldtoftevej 40, Villumgård, Det sammenbyggede firelængede gårdanlæg med korsarm på stuehuset (ca1800) og den brolagte gårdsplads,1990,*,552394764,100803976,55.2394764,10.0803976,55.2394764,10.0803976
54,Assens Kommune ,Voldtoftevej 8,Assens Kommune Voldtoftevej 8, Venekærgård, Den firelængede gård (1810-20) og gårdspladsen,1988,,552394230,100726559,55.2394230,10.0726559,55.239423,10.0726559
55,Assens Kommune ,Østergade 11,Assens Kommune Østergade 11, Østergade 11, Forhuset (1500-tallet),1919,,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
56,Assens Kommune ,Østergade 27,Assens Kommune Østergade 27, Apoteket, Hjørnebygningen samt stalden mod Korsgade (1847-48),1978,*,552701288,98987939,55.2701288,9.8987939,55.2701288,9.8987939
57,Assens Kommune ,Østergade 36,Assens Kommune Østergade 36, Willemoesgården, Hjørnehuset (1675),1918,*,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
58,Assens Kommune ,Østergade 38 D,Assens Kommune Østergade 38 D, Plums Tømmerlade, Den store gule trælade (1915),2003,,553012998,100327481,55.3012998,10.0327481,55.3012998,10.0327481
59,Assens Kommune ,Østergade 42,Assens Kommune Østergade 42, Brydes Gård, Forhuset (1777),1919,,553858185,101425142,55.3858185,10.1425142,55.3858185,10.1425142
60,Billund Kommune ,Billundvej 47,Billund Kommune Billundvej 47, Gyttegård, Villaen (1916 af Martin Borch),1996,,557100677,90373572,55.7100677,9.0373572,55.7100677,9.0373572
61,Bornholm Kommune ,Almindingsvej 40,Bornholm Kommune Almindingsvej 40, Christianshøj Trinbræt, Træpavillonen og den hermed sammenbyggede mindretræbygning (1915-16 af Kay Fisker og Aage Rafn),1985,,551237390,149130058,55.1237390,14.9130058,55.123739,14.9130058
62,Bornholm Kommune ,"Arsenalvej 8, tidl Sønder Allé 24","Bornholm Kommune Arsenalvej 8, tidl Sønder Allé 24"," Kastellet, Rønne"," Tårnet, magasinbygningerne og voldanlægget (1689,1841)",1954,*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
63,Bornholm Kommune ,Borgergade 11,Bornholm Kommune Borgergade 11," Borgergade 11, Svaneke", Det grundmurede femfags hus (1861),1954,*,551041077,146975895,55.1041077,14.6975895,55.1041077,14.6975895
64,Bornholm Kommune ,Ferskesøstræde 36,Bornholm Kommune Ferskesøstræde 36, Martin Andersen Nexø's Barndomshjem," Beboelseshuset (1879), udhuset og murenmellem disse",1983,*,550577014,151276240,55.0577014,15.127624,55.0577014,15.127624
65,Bornholm Kommune ,Fiskerivej 8,Bornholm Kommune Fiskerivej 8, Rønne Redningsstation, Redningsstationen (1929),1998,,550930470,146932700,55.0930470,14.69327,55.093047,14.69327
66,Bornholm Kommune , Gaden 44,Bornholm Kommune  Gaden 44, Årsdale Mølle, Vindmøllen (1877),1960,*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
67,Bornholm Kommune ,Gl. Rønnevej 1 A (tidl Rønnevej 1),Bornholm Kommune Gl. Rønnevej 1 A (tidl Rønnevej 1),"Vangegemmerhuset, Nexø.  ", Kampestensbygningen (1700-tallet),1947,,550627151,151226498,55.0627151,15.1226498,55.0627151,15.1226498
68,Bornholm Kommune ,Godthåbsvej 59B,Bornholm Kommune Godthåbsvej 59B, Østermarie Station, Den tidl stationsbygning med varehus (1915-16 af Aage Rafn ogKay Fisker),1984,*,551441966,150073885,55.1441966,15.0073885,55.1441966,15.0073885
69,Bornholm Kommune ,Gudhjemvej 28-30,Bornholm Kommune Gudhjemvej 28-30, Østerlars Præstegård," Det stråtækte trelængede bindingsværksgårdanlæg (1836),den brolagte gårdsplads med pumpebrønd og de to kastanietræer",1990,,551698220,149598910,55.1698220,14.959891,55.169822,14.959891
70,Bornholm Kommune ,Jørn Utzons Sti 2 og Hans Thygesensvej 46A,Bornholm Kommune Jørn Utzons Sti 2 og Hans Thygesensvej 46A, Svaneke Vandtårn og Pumpestation, Vandtårnet (1952 af JørnUtzon) samt pumpestation,1990, Udvidet 2015,551453677,151098247,55.1453677,15.1098247,55.1453677,15.1098247
71,Bornholm Kommune ,Kirkebakken 9,Bornholm Kommune Kirkebakken 9," Missionshuset Siloam, Svaneke", Missionshuset (1897),2003,,552456260,148360934,55.2456260,14.8360934,55.245626,14.8360934
72,Bornholm Kommune ,Krystalgade 5. L,Bornholm Kommune Krystalgade 5. L," Hjorts Terracottafabrik, Rønne"," Det nordøstre forhus (mellem 1847 og 1860, kvisten efter 1861), det sydvestre forhus (mellem 1874 og 1882, ombygget og forhøjet efter 1902), det vestre sidehus (1700-tallet), det lange vestre baghus (bindingsværksdelen 1700-tallet, den grundmurede del ca 1920), det korte baghus (ca 1920), mellembygningen og det østre sidehus (bagsiden 1800-tallet, gårdsiden før 1900) samt hegnsmuren og porten mod gaden, gårdspladsen og haven med lysthuset ogfortovet i Krystalgade",1984,*,551025570,146971092,55.1025570,14.6971092,55.102557,14.6971092
73,Bornholm Kommune ,Købmagergade 33,Bornholm Kommune Købmagergade 33," Amtsgården (tidl), Nexø", Forhuset (1803),1954,*,550595300,151330170,55.0595300,15.133017,55.05953,15.133017
74,Bornholm Kommune ,Laksegade 5,Bornholm Kommune Laksegade 5," Laksegade 5, Rønne", Forhuset (ca 1850-1900),1954,*,551035709,146972799,55.1035709,14.6972799,55.1035709,14.6972799
75,Bornholm Kommune ,Laksegade 7,Bornholm Kommune Laksegade 7," Erichsens Gård, Rønne"," Forhuset (1807, kvisten fra ca 1830 og to vestlige fag 1838),havehuset (1815), gårdspladsen med retirade og haven bag forhuset samt de to havemure mod Laksegade",1919, Udvidet 2003*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
76,Bornholm Kommune ,Langebjergvej 15,Bornholm Kommune Langebjergvej 15, Hammersholm," Stuehuset&nbsp;(1700-tallet, forlænget med fire fag ca 1833)",2013,,552770259,147666365,55.2770259,14.7666365,55.2770259,14.7666365
77,Bornholm Kommune ,Lille Madsegade 32-34,Bornholm Kommune Lille Madsegade 32-34, Rønne Elværk og Badeanstalt, Rønne Elektricitetsværk og Badeanstalt (1910-12af Anton Rosen) med senere tilbygninger og den åbne plads mod Lille Madsegade,2015,,551031387,147040148,55.1031387,14.7040148,55.1031387,14.7040148
78,Bornholm Kommune ,"Marie Kofoedsvej 1, 3 og 5","Bornholm Kommune Marie Kofoedsvej 1, 3 og 5"," Etatsrådinde Marie Kofoeds Stiftelse, Rønne", Bindingsværkslængen(1812),1977,*,551050176,147030516,55.1050176,14.7030516,55.1050176,14.7030516
79,Bornholm Kommune ,Melsted By 8,Bornholm Kommune Melsted By 8," Stråhytten, Melsted", Stuehuset (ca 1800-1850) og røgeriskorstenen (ca1880),1975,*,552031738,149811648,55.2031738,14.9811648,55.2031738,14.9811648
80,Bornholm Kommune ,Melstedvej 25,Bornholm Kommune Melstedvej 25, Melstedgård," Det firelængede gårdanlæg med tværlænge (stuehuset 1796 og 1865, deøvrige længer 1859-73 og senere)",1950,*,552025767,149793261,55.2025767,14.9793261,55.2025767,14.9793261
81,Bornholm Kommune ,Melstedvej 25 M (tidl Møllegade 7 A),Bornholm Kommune Melstedvej 25 M (tidl Møllegade 7 A), Tejn Stubmølle," Stubmøllen (ca 1800, flyttet 1850 og 2006)",1959,,552025767,149793261,55.2025767,14.9793261,55.2025767,14.9793261
82,Bornholm Kommune ,Munch Petersensvej 10,Bornholm Kommune Munch Petersensvej 10, Havnesmedjen i Rønne, Havnesmedien (1735),1973,,551003734,146930165,55.1003734,14.6930165,55.1003734,14.6930165
83,Bornholm Kommune ,Munch Petersens Vej 9,Bornholm Kommune Munch Petersens Vej 9," Amtsforvaltergården, Rønne", Vestfløjen (1847-48 af Ferdinand Thielemann),1985, (Fredning af midter- og østfløj ophævet 2003),550999827,146944012,55.0999827,14.6944012,55.0999827,14.6944012
84,Bornholm Kommune ,Møllebakken 13,Bornholm Kommune Møllebakken 13, Svaneke Stubmølle, Stubmøllen (1634),1960,*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
85,Bornholm Kommune ,Nexøvej 26,Bornholm Kommune Nexøvej 26, Myreagre Mølle, Vindmøllen (1865),1971,,550686076,149656723,55.0686076,14.9656723,55.0686076,14.9656723
86,Bornholm Kommune ,Nexøvej 74 A,Bornholm Kommune Nexøvej 74 A, Egeby Stubmølle, Stubmøllen (1784),1964,*,550644677,150018680,55.0644677,15.001868,55.0644677,15.001868
87,Bornholm Kommune ,Nybrovej 33,Bornholm Kommune Nybrovej 33, Østerlars Station, Den tidl stationsbygning med varehus (1915-16 af Aage Rafn og KayFisker),1984,,551647692,149689866,55.1647692,14.9689866,55.1647692,14.9689866
88,Bornholm Kommune ,Nybrovej 47,Bornholm Kommune Nybrovej 47, Lille Frigård," ""Den firelængede bindingsværksgård med udbygning mod nord og """"gårdkone""""samt gårdspladsens brolægning",1979," """,551602776,149963415,55.1602776,14.9963415,55.1602776,14.9963415
89,Bornholm Kommune ,Nørrevang 9 C,Bornholm Kommune Nørrevang 9 C," Svanemøllen, Svaneke", Vindmøllen (1864),1960,*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
90,Bornholm Kommune ,Pilegade 7 B,Bornholm Kommune Pilegade 7 B," Missionshuset Menighedshjemmet, Allinge", Missionshuset (1889),2003,,552760340,148000403,55.2760340,14.8000403,55.276034,14.8000403
91,Bornholm Kommune ,Sandgade 1-11 og Store Torvegade 36A-B,Bornholm Kommune Sandgade 1-11 og Store Torvegade 36A-B, Hafniahus," Længen mod vest langs Store Torvegade, vinkelbygningen i Sandgade og haverummet herimellem samt garageanlægget mod nord (1934-37af&nbsp;Ib Lunding)",2015,*,551093980,147027380,55.1093980,14.702738,55.109398,14.702738
92,Bornholm Kommune ,Segenvej 50,Bornholm Kommune Segenvej 50, Kyllingemoderen," Dansepavillonen ""Kyllingemoderen"" (1929 af Ove Petersen)",2013,,551217541,149064799,55.1217541,14.9064799,55.1217541,14.9064799
93,Bornholm Kommune ,Stationsvej 1,Bornholm Kommune Stationsvej 1, Gudhjem Station (tidl)," Den tidl stationsbygning (1915-16 af Aage Rafn og Kay Fisker), deto murede piller samt mønsterbrolægningen mellem disse og under perrontaget",1984,,551402736,147665854,55.1402736,14.7665854,55.1402736,14.7665854
94,Bornholm Kommune ,Stenbrudsvej 55,Bornholm Kommune Stenbrudsvej 55," Stenbrudsgården, Nexø"," Hovedbygningen og sidebygningen, forhaven med sandstensgærder og to elmetræer, de to tøjringssten ved sandstensgærdets yderside samt de to indkørselssten ved hovedbygningens nordgavl (1759 af Jacob Fortling), de to udlænger, den mark- og sandstensbelagte gårdsplads med sandstensbord, brønd og møddingsplads, de tre sandstenssatte brønde i haven med brøndskur af store lodretstående sandstensfliser samt sandstensgærderne og det nærmesteareal omkring bygningerne, brøndene og sandstensgærder",1988, Udv. 1997 og 1998*,550752068,151431701,55.0752068,15.1431701,55.0752068,15.1431701
95,Bornholm Kommune ,Storegade 15,Bornholm Kommune Storegade 15," Storegade 15, Aakirkeby", Forhuset (1856) og den brolagte forplads med kastanietræ ud forejendommen Storegade 15,1988,,551025760,146960187,55.1025760,14.6960187,55.102576,14.6960187
96,Bornholm Kommune ,Storegade 15 A-F og Rådhusstræde 2-8,Bornholm Kommune Storegade 15 A-F og Rådhusstræde 2-8," Johnsens Gård, Rønne"," Det trelængede anlæg med tilbygningtil den nordre længe (opført i 1730'rne eller 1740'rne, facaden ombygget i 1880'erne) samt den brolagte gårdsplads",1969, Udvidet 2004*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
97,Bornholm Kommune ,"Storegade 19, Grønnegade","Bornholm Kommune Storegade 19, Grønnegade"," Lybækkerhuset, Rønne", Bindingsværkshuset mod Grønnegade (1700-tallet),1954,,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
98,Bornholm Kommune ,Storegade 28,Bornholm Kommune Storegade 28," Storegade 28, Svaneke"," Forhuset samt den del af stald- og ladebygningen, der har gavl mod Storegade (størstedelen af forhuset før 1761, med senere ændringer, stald- og ladebygningen 1866)",1987,,551009698,146956877,55.1009698,14.6956877,55.1009698,14.6956877
99,Bornholm Kommune ,Storegade 36,Bornholm Kommune Storegade 36," Amtmandsboligen, Rønne"," ""Amtmandsboligen"", bestående af forhuset (1700-tallet), de tosidehuse (u.å.) og den tidligere staldbygning",1919, Udvidet 2003*,551604280,148668836,55.1604280,14.8668836,55.160428,14.8668836
100,Bornholm Kommune ,Storegade 42,Bornholm Kommune Storegade 42," Kommandantboligen, Rønne"," ""Kommandantboligen"", bestående af forhuset (1846-47)med sidelænger (før 1761, ombygget 1846-47) samt havehuset (u.å.) og bindingsværkmuren og kampestensgærdet mod Rosengade",1919, Udv. 2003*,551029446,146963247,55.1029446,14.6963247,55.1029446,14.6963247
101,Bornholm Kommune ,Store Torv 1,Bornholm Kommune Store Torv 1, Rønne Tinghus," Tinghuset (Det tidl Ting-, Råd- og Arresthus, 1834 af Henning Pedersen)",1977,*,551024760,146997010,55.1024760,14.699701,55.102476,14.699701
